Transaction ID,Transaction
T1,"Dragon Age: The Veilguard, Weird West, Dualsense Controller, Wireless Headset"
T2,"Weird West, Controller Charging Station, Dualsense Controller"
T3,"Joy-Con, Memory Card, Another Crab's Treasure"
T4,"Wireless headset, Memory Card, Controller Charging Station"
T5,"Elden Ring, Another Crab's Treasure, Dualsense Controller"
T6,"Dragon Age: The Veilguard, Wireless Headset, Controller Charging Station"
T7,"Memory Card, Joy-Con, Wireless Headset"
T8,"Another Crab's Treasure, Elden Ring, Dualsense Controller"
T9,"Xbox Wireless Controller, Controller Charging Station, Wireless Headset, Elden Ring"
T10,"Weird West, Dualsense Controller, Wireless Headset, Memory Card"
T11,"Another Crab's Treasure, Elden Ring, Wireless Headset"
T12,"Another Crab's Treasure, Weird West"
T13,"Elden Ring, Dualsense Controller, Controller Charging Station"
T14,"Memory Card, Joy-Con, Controller Charging Station, Another Crab's Treasure"
T15,"Dragon Age: The Veilguard, Dualsense Controller, Wireless Headest, Memory Card"
T16,"Dragon Age: The Veilguard, Another Crab's Treasure, Weird West"
T17,"Elden Ring, Weird West, Dualsense Controller"
T18,"Dragon Age: The Veilguard, Xbox Wireless Controller, Wireless Headset"
T19,"Weird West, Dualsense Controller"
T20,"Another Crab's Treasure, Weird West"
